Casing_pressure,Tubing_pressure,Gas_production,Water_production,Water_gas_ratio,PI
9,7.5,7.63,8,1.05,0
9,7.2,7.7,10,1.3,0
9,7.2,7.79,10,1.28,0
8.8,7,7.85,10,1.27,0
6.8,6.8,7.95,10,1.26,0
8.8,6.4,7.99,10,1.25,0
8.8,6.4,7.98,8,1,0
8.8,6.4,7.89,8,1.01,0
8.8,6.4,7.8,8,1.03,0
8.8,6.4,7.77,8,1.03,0
8.8,6.4,7.71,10,1.3,0
8.2,6.2,7.64,10,1.31,0
7.6,6.2,7.49,10,1.34,0
7.2,6.2,7.49,10,1.33,0
7,6.2,7.48,10,1.34,0
6.8,6,7.32,10,1.37,0
6.8,6,7.28,10,1.37,0
6.8,6,7.35,10,1.36,0
6.8,6,7.39,10,1.35,0
6.8,6.2,7.3,10,1.37,0
6.8,6.2,7.31,10,1.37,0
6.8,6.2,6.56,10,1.53,0
7.4,7,5.7,9,1.58,0
7.8,7,6.07,9,1.48,0
8,6,6.04,9,1.49,0
8,6.8,6.03,9,1.49,0
8,6.8,6.04,9,1.49,0
8,7,5.49,8,1.46,0
8,7,6.07,10,1.65,0
8.01,6.33,6.04,10,1.66,0
6.57,5.51,6.07,10,1.65,0
7.6,6.37,6.2,10,1.61,0
7.58,6.36,6.29,11,1.75,0
7.16,6.28,6.39,11,1.72,0
7.33,6.26,6.34,10,1.58,0
7.31,6.21,7.39,10,1.35,0
7.3,6.15,7.29,11,1.51,0
7.26,6.16,8.27,10,1.21,0
7.16,6.17,6.99,10,1.43,0
7.25,6.14,7.16,10,1.4,0
7.25,6.14,6.07,9,1.48,0
7.29,6.21,4.99,3,0.6,0
8.2,6.01,5.25,7,1.33,0
7.5,6.36,5.27,5,0.95,0
7.45,6,6.98,8,1.15,0
7.46,6.16,6.67,5,0.75,0
7.12,6.08,6.82,8,1.17,0
7.2,6.07,6.86,9,1.31,0
7.2,6.18,6.63,4,0.6,0
7.16,5.44,5.72,3,0.52,0
5.99,7.1,6.79,7,1.03,0
7.16,5.98,6.32,6,0.95,0
7.03,5.39,6.89,5,0.73,0
6.97,5.9,5.64,6,1.06,0
7.01,5.87,6.58,5,0.76,0
7.71,5.59,7.2,4,0.56,0
6.93,5.83,5.77,6,1.04,0
7.38,5.73,5.13,6,1.17,0
6.97,5.81,6.23,6,0.96,0
6.91,5.79,5.68,6,1.06,0
6.96,5.8,5.8,6,1.04,0
6.92,5.78,5.54,6,1.08,0
6.87,5.73,6.88,6,0.87,0
6.84,5.73,5.59,6,1.07,0
6.84,5.71,5.54,6,1.08,0
6.82,5.69,5.46,6,1.1,0
7.33,5.47,4.58,6,1.31,0
6.86,5.69,5.71,6,1.05,0
6.78,5.65,5.52,6,1.09,0
6.72,5.62,5.52,6,1.09,0
6.67,5.59,5.51,6,1.09,0
6.75,5.64,6.23,5,0.8,0
6.59,5.56,6.69,5,0.75,0
6.66,5.61,7.44,5,0.67,0
6.8,5.55,5.91,4,0.68,0
6.93,5.5,5.6,3,0.54,0
6.42,5.44,6.74,5,0.74,0
6.48,5.46,7.44,4,0.54,0
6.56,5.47,6.72,5,0.74,0
6.53,5.45,6.48,6,0.93,0
6.59,5.53,7.01,4,0.57,0
6.55,5.51,7.14,4,0.56,0
6.29,3.89,6.65,5,0.75,0
5.34,3.48,8.52,6,0.7,0
5.09,3.4,8.04,7,0.87,0
4.77,3.2,9.1,6,0.66,0
5.02,3.37,8.76,6,0.69,0
5.13,3.44,7.1,6,0.84,0
4.76,3.22,8.65,6,0.69,0
5.35,4.69,8.16,5,0.61,0
5.05,3.27,7.94,5,0.63,0
4.89,3.27,8.21,6,0.73,0
4.99,3.58,7.89,5,0.63,0
5.13,3.64,5.85,5,0.86,0
5.02,3.46,7.11,6,0.84,0
4.98,3.74,6.69,5,0.75,0
4.89,3.1,7.03,5,0.71,0
4.78,3.14,6.69,5,0.75,0
5.33,4.46,5.03,4,0.79,0
5.45,4.51,5.82,4,0.69,0
5.56,4.59,5.82,4,0.69,0
5.39,4.54,5.8,4,0.69,0
5.5,4.58,5.78,4,0.69,0
5.44,4.37,5.74,4,0.7,0
4.74,3.25,5.79,3,0.52,0
4.94,3.15,6.21,3,0.48,0
5.28,4.26,5.89,3,0.51,0
5.2,4.11,5.78,3,0.52,0
4.91,3.41,5.78,3,0.52,0
4.76,3.16,5.69,3,0.53,0
5.13,3.89,5.16,3,0.58,0
5.17,4.14,4.89,4,0.82,0
5.1,4.04,5.29,3,0.57,0
4.94,3.85,5.3,3,0.57,0
4.88,3.82,5.44,3,0.55,0
4.79,3.82,5.59,3,0.54,0
4.73,3.78,5.78,3,0.52,0
4.8,4.12,5.72,3,0.52,0
4.74,3.92,5.68,3,0.53,0
4.7,3.87,5.68,3,0.53,0
4.7,3.87,5.62,3,0.53,0
4.8,4.2,5.62,3,0.53,0
4.67,3.89,6.16,3,0.49,0
4.69,3.96,6.11,3,0.49,0
4.67,4,6.09,4,0.66,0
4.67,3.96,5.99,3,0.5,0
4.66,4.06,6.05,2,0.33,0
4.3,3.06,6.07,3,0.49,0
4.83,4.23,6.08,4,0.66,0
4.8,4.05,5.6,2,0.36,0
4.95,4.33,5.49,2,0.36,0
5,4.37,5.57,3,0.54,0
4.89,3.95,5.31,2,0.38,0
4.56,3.88,6.09,3,0.49,0
4.53,3.77,5.98,3,0.5,0
4.5,3.83,5.95,3,0.5,0
4.52,3.87,5.93,3,0.51,0
4.64,3.97,5.67,2,0.35,0
4.64,3.98,5.63,2,0.36,0
4.6,3.92,5.66,3,0.53,0
4.99,4.31,5.19,2,0.39,0
4.74,4.11,5.3,3,0.57,0
4.92,4.11,5.27,3,0.57,0
5.07,4.36,5.02,2,0.4,0
4.98,4.37,5.2,2,0.38,0
4.77,4.13,5.45,3,0.55,0
4.53,3.89,5.73,4,0.7,0
4.48,3.82,5.83,3,0.51,0
4.16,3.31,6.05,4,0.66,0
4.13,3.28,6.24,4,0.64,0
4.21,3.57,6.11,4,0.65,0
4.17,3.43,6.08,3,0.49,0
4.07,3.32,6.12,4,0.65,0
3.99,3.22,6.07,4,0.66,0
4.84,4.36,4.56,3,0.66,0
4.08,3.34,6.07,4,0.66,0
4.02,3.27,6.18,4,0.65,0
3.94,3.11,5.99,4,0.67,0
4.41,3.88,5.36,4,0.75,0
4.38,3.72,5.09,4,0.79,0
4.7,3.44,4.93,4,0.81,0
4.57,3.91,4.92,4,0.81,0
4.66,3.98,4.88,4,0.82,0
4.78,4,4.68,4,0.85,0
4.8,4,4.33,4,0.92,0
4.81,3.98,4.94,4,0.81,0
4.84,4.2,4.92,4,0.81,0
4.8,4.1,5.07,4,0.79,0
4.8,4.2,4.09,4,0.98,0
4.53,3.85,5.23,4,0.76,0
4.44,3.79,5.31,4,0.75,0
4.48,3.83,5.19,4,0.77,0
4.61,3.89,4.96,4,0.81,0
4.62,3.89,5.01,4,0.8,0
5.58,4.15,5.08,4,0.79,0
5.06,4.21,5.13,9,1.76,0
5.44,4.03,5.04,4,0.79,0
5.96,3.98,4.06,4,0.99,0
4.91,4.14,5.33,8,1.5,0
4.59,3.91,5.01,3,0.6,0
4.47,3.8,5.44,4,0.74,0
4.59,3.91,5.32,4,0.75,0
4.54,4.06,5.22,4,0.77,0
4.48,3.8,4.57,3,0.66,0
4.59,3.86,4.32,2,0.46,0
4.6,3.99,4.78,3,0.63,0
4.62,3.96,4.44,3,0.68,0
4.28,3.69,4.46,3,0.67,0
4.42,3.7,4.4,3,0.68,0
4.59,3.72,4.95,3,0.61,0
4.72,3.76,4.34,3,0.69,0
4.78,4.36,5.27,5,0.95,0
5.53,3.83,3.55,2,0.56,0
4.87,4.17,2.23,1,0.45,0
4.52,4.04,5.48,4,0.73,0
4.39,3.72,5.18,5,0.96,0
4.57,4.08,5.01,4,0.8,0
5.21,3.76,4.09,2,0.49,0
5.84,4.12,1.98,1,0.51,0
4.8,4.11,4.69,7,1.49,0
4.63,3.78,4.53,4,0.88,0
4.52,3.94,5.22,6,1.15,0
4.83,4.05,5,5,1,0
4.87,3.81,4.03,4,0.99,0
5.5,3.84,3.05,2,0.66,0
6,3.93,1.19,1,0.84,0
4.77,4.06,4.76,6,1.26,0
4.65,4.05,4.09,5,1.22,0
4.71,3.99,4.35,5,1.15,0
5.23,3.97,4.06,3,0.74,0
5.86,4,1.93,1,0.52,0
4.79,4.04,5.24,6,1.15,0
4.85,3.95,4.04,4,0.99,0
4.81,3.86,4.02,4,1,0
4.72,3.77,4.08,4,0.98,0
4.58,3.78,4.03,4,0.99,0
4.45,3.72,4.27,4,0.94,0
